"ID_Word";"PalabraAcento";"Palabra";"Code";"Frase"
1;"Inés";"Ines";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;
2;"canción";"cancion";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;
3;"gané";"gane";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;
4;"comí";"comi";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;
5;"allá";"alla";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;
6;"Raúl";"Raul";Aguda: se acentúan las palabras que, aunque terminan en consonante distinta de n o s, tienen en la última sílaba un hiato formado por una vocal abierta y otra cerrada tónica ;
7;"maíz";"maiz";Aguda: se acentúan las palabras que, aunque terminan en consonante distinta de n o s, tienen en la última sílaba un hiato formado por una vocal abierta y otra cerrada tónica ;
8;"sonreír";"sonreir";Aguda: se acentúan las palabras que, aunque terminan en consonante distinta de n o s, tienen en la última sílaba un hiato formado por una vocal abierta y otra cerrada tónica ;
9;"carácter";"caracter";Llana: se acentúan todas las palabras que terminan en consonante distinta de n o s.;
10;"hábil";"habil";Llana: se acentúan todas las palabras que terminan en consonante distinta de n o s.;
11;"lápiz";"lapiz";Llana: se acentúan todas las palabras que terminan en consonante distinta de n o s.;
12;"mío";"mio";Llana: se acentúan la palabras que aunque terminan en n, s o en vocal, tienen en la penúltima sílaba un hiato por vocal cerrada tónica;
13;"correrías";"correrias";Llana: se acentúan la palabras que aunque terminan en n, s o en vocal, tienen en la penúltima sílaba un hiato por vocal cerrada tónica;
14;"sabían";"sabian";Llana: se acentúan la palabras que aunque terminan en n, s o en vocal, tienen en la penúltima sílaba un hiato por vocal cerrada tónica;
15;"bíceps";"biceps";Las palabras que terminan en el grupo consonante -ps;
16;"tríceps";"triceps";Las palabras que terminan en el grupo consonante -ps;
17;"óleo";"oleo";Esdrújula o sobreesdrújula: se acentúan todas las palabras;
18;"mecánico";"mecanico";Esdrújula o sobreesdrújula: se acentúan todas las palabras;
19;"páguemelo";"paguemelo";Esdrújula o sobreesdrújula: se acentúan todas las palabras;
20;"él";el;Acento diacrítico;
21;"más";mas;Acento diacrítico;
22;"sí";si;Acento diacrítico;
23;"dé";de;Acento diacrítico;
24;"mí";mi;Acento diacrítico;
25;"té";te;Acento diacrítico;
26;"tú";tu;Acento diacrítico;
27;"sé";se;Acento diacrítico;
28;"éste";este;Acento diacrítico;
29;"aún";aun;Acento diacrítico;
30;"sólo";solo;Acento diacrítico;
31;"auténtico";"autentico";Esdrújula o sobreesdrújula: se acentúan todas las palabras;
32;"sector turístico";"sector turistico";Esdrújula o sobreesdrújula: se acentúan todas las palabras;
33;"demás";"demas";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;
34;"vorágine";"vorágine";Esdrújula o sobreesdrújula: se acentúan todas las palabras;"Algunas de estas empresas se han embarcado en una especie de vorágine de crecimiento..."
35;"símbolo";"simbolo";Esdrújula o sobreesdrújula: se acentúan todas las palabras;
36;"éstas";"estas";Acento diacrítico;"Si hace 4 años algunas de éstas eran medianías que no facturaban por encima de los 30.000 millones de pesetas..."
37;"medianía";"mediania";Llana: se acentúan la palabras que aunque terminan en n, s o en vocal, tienen en la penúltima sílaba un hiato por vocal cerrada tónica;
38;"situarán";"situaran";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;"se situaran may cerca de los 7000 millones..."
39;"dimensión";"dimension";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;
40;"están";"estan";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;"los grupos que estan mostrando resultados más espectaculares..."
41;"convirtiéndose";"convirtiendose";Esdrújula o sobreesdrújula: se acentúan todas las palabras;
42;"situó";"situo";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;
43;"éstos";"estos";Acento diacrítico;"A estos habría que añadir otro grupo diversificado como...."
44;"empezó";"empezo";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;
45;"prevé";"preve";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;
46;"límite";"limite";Esdrújula o sobreesdrújula: se acentúan todas las palabras;
47;"superarán";"superaran";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;
48;"vendió";"vendio";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;
49;"días";"dias";Llana: se acentúan la palabras que aunque terminan en n, s o en vocal, tienen en la penúltima sílaba un hiato por vocal cerrada tónica;"En los primeros dias"
50;"adquiriría";"adquiriria";Llana: se acentúan la palabras que aunque terminan en n, s o en vocal, tienen en la penúltima sílaba un hiato por vocal cerrada tónica;
51;"aumentó";"aumento";Aguda: se acentúan todas las plababras que poseen más de una sola sílaba y terminan en vocal o en las consonantes n o s.;"La división aumento sus ingresos un 21% en 1995"
52;"línea aérea";"linea aerea";Esdrújula o sobreesdrújula: se acentúan todas las palabras;
